cod_municipio,nome_municipio_anterior,iqe_anterior,nota_saeb_anterior,taxa_aprovacao_anterior,iqie_infraestrutura_anterior,inse_socioeconomico_anterior,formacao_docente_anterior,valor_investido,iqe_recente
100000,Sintético_0,4.183591010202582,3.9201360005386685,86.61121684689205,0.4252042932734301,2.1990016109138133,77.00729146495652,245575.07010943585,5.89502760426286
100001,Sintético_1,9.081071604484288,9.157172705172007,96.50838250088886,0.9794588861664255,4.498929658307827,87.26436410842362,55809.29748386457,9.108570662583102
100002,Sintético_2,7.221948505396943,7.760627629797271,93.99093922699083,0.780590398427382,3.5476231238505602,84.7602770063066,71902.85410197265,7.189284224311656
100003,Sintético_3,6.088597115674811,6.371381870391044,92.91192524498197,0.5289027705033584,3.308988088791368,86.45759000837914,68713.57447274562,6.218019968294232
100004,Sintético_4,2.3261584437607103,2.468780404286088,86.47948613998793,0.2326263355438749,1.1051297533497035,68.88502339260604,202284.14655290745,3.8909895853772904
100005,Sintético_5,2.3259534228577223,2.3998179659164554,83.04554894435475,0.22440408747735843,1.074694530559887,68.53612454859706,62988.678183527176,2.7372302275381295
100006,Sintético_6,1.4937107034296955,1.5511518159174968,85.97279854477844,0.17150947416000606,1.0,56.886577984838745,35331.7608593604,1.7354605125513054
100007,Sintético_7,8.362497239086949,8.946526773510179,96.18274727608876,0.8802093385427933,4.573718855490448,71.93384103311553,249668.9855146946,8.792998174461939
100008,Sintético_8,6.109477599817275,5.803598061338784,92.17622061093768,0.6188910746085841,2.9801049411776557,80.27031144560267,25707.958632384303,6.359136059889284
100009,Sintético_9,7.0186169112663865,7.003772485464085,92.54281046423712,0.5938857843839702,3.201918837902394,80.5817295773948,212106.1338365391,7.633985550660301
100010,Sintético_10,1.1749682015143208,1.1094541933654418,77.50145588248276,0.12246166658463596,1.0,60.95099122996925,104034.37355665014,2.2519204947718867
100011,Sintético_11,9.244233743376952,10.145857154394559,100.0,0.7828771114599476,4.627600231589968,88.95035225106258,213571.5557442975,9.532988994209116
100012,Sintético_12,8.075762446803584,8.792985994722294,97.62521268779203,0.7549890037350521,3.7648582746850083,83.92526869442621,147562.71297856333,8.455964245053067
100013,Sintético_13,2.8048824407653474,2.5465117108693907,85.04710976729427,0.24041679201771343,1.446787033909945,74.05354857546554,227375.18278186282,4.220201797161557
100014,Sintético_14,2.5455122212603554,2.6501710440656336,85.22500587697044,0.2741082547613387,1.3994588259152119,68.06709100507597,233024.38687536414,3.894892058266111
100015,Sintético_15,2.5589383337541873,2.776575177914071,86.14975510291657,0.2258265243208615,1.267119596385279,63.94219857591173,22092.58169457848,2.769426098677894
100016,Sintético_16,3.5860590651560704,3.3569639293079754,84.04702641653905,0.34309395951197746,1.7409343349734425,75.70900839026466,37344.800478341305,3.9630445376249206
100017,Sintético_17,5.4604296688740215,5.534631699427634,89.86275398305546,0.6324651386847905,2.6759950430957464,75.29563363189105,77582.50780129676,5.832871710516965
100018,Sintético_18,4.671532658457984,5.059726088735914,90.93159467615962,0.41190143898489123,2.1559806095930742,76.6472813937355,173942.5457636054,5.8799968067888715
100019,Sintético_19,3.4754476916833563,3.15149841709861,84.44231653702822,0.34862981282909483,1.870928581177672,68.03928954408607,224302.6051976464,4.93766780363488
